Organisation Name,org_name_normalized,has_multiple_towns,has_multiple_counties,Town/City,County,Type & Rating,Route,raw_name_variants,match_status,match_error,best_candidate_score,best_candidate_title,best_candidate_company_number
AAA Healthcare Limited T/A Roundhay Pharmacy,aaa healthcare t a roundhay pharmacy,False,False,Leeds,,Worker (A rating),Skilled Worker,AAA Healthcare Limited T/A Roundhay Pharmacy,unmatched,,0.4325,AAA HEALTHCARE AGENCY LIMITED,09683987
AAA Oriential,aaa oriential,False,False,"Hoton, Loughborough",Leicestershire,Worker (A rating),Skilled Worker,AAA Oriential,unmatched,,0.4423,AAA LTD,06872285
AAA RRR LIMITED T/A Arrahman,aaa rrr t a arrahman,False,False,Swindon,,Worker (A rating),Skilled Worker,AAA RRR LIMITED T/A Arrahman,unmatched,,0.51,AAA RRR LIMITED,14604713
AAA SHOP LIMITED T/A AAA SUPERMARKET,aaa shop t a aaa supermarket,False,False,Swindon,,Worker (A rating),Skilled Worker,AAA SHOP LIMITED T/A AAA SUPERMARKET,unmatched,,0.5214,AAA SUPERMARKET PRIVATE LIMITED,16669114
AAA Trading Project LTD,aaa trading project,False,False,London,UK,Worker (A rating),Skilled Worker,AAA Trading Project LTD,unmatched,,0.65,AAA PROJECT CONTROLS LTD,15033863
AAAA Communications Limited t/a Media Guru,aaaa communications t a media guru,False,False,London,,Worker (A rating),Skilled Worker,AAAA Communications Limited t/a Media Guru,unmatched,,0.5535,AAAA COMMUNICATIONS LIMITED,09770087
AAAA Food Ltd,aaaa food,False,False,Wembley,,Worker (A rating),Skilled Worker,AAAA Food Ltd,unmatched,,0.69,AAAA FOODS LTD,13292299
AADARS UK LTD T/A GURKHA KITCHEN,aadars t a gurkha kitchen,False,False,LERWICH,SHETLAND,Worker (A rating),Skilled Worker,AADARS UK LTD T/A GURKHA KITCHEN,unmatched,,0.57,GURKHA KITCHEN ALDERSHOT LIMITED,12469142
AADI Trading Limited,aadi trading,False,False,Walton-On-Thames,Surrey,Worker (A rating),Skilled Worker,AADI Trading Limited,unmatched,,0.5786,AADI MAX PLUS TRADING LTD,16353340
AADIL AND AIYAZ CO LTD T/A SABA MAISON DE LUXE,aadil and aiyaz t a saba maison de luxe,False,False,Sunderland,,Worker (A rating),Skilled Worker,AADIL AND AIYAZ CO LTD T/A SABA MAISON DE LUXE,unmatched,,0.4838,AADIL AND AIYAZ CO LTD,15038992
AADYA & ADHVIK LTD TA SR FONES,aadya adhvik ta sr fones,False,False,LEEDS,,Worker (A rating),Skilled Worker,AADYA & ADHVIK LTD TA SR FONES,unmatched,,0.57,AADYA & ADHVIK LTD,13037946
AAE FAST FOOD LIMITED T/A BOOM BIRD,aae fast food t a boom bird,False,False,Brighton,East Sussex,Worker (A rating),Skilled Worker,AAE FAST FOOD LIMITED T/A BOOM BIRD,unmatched,,0.6297,AAE FAST FOOD LIMITED,14398828
AAF-Ltd,aaf,False,False,Cramlington,Northumberland,Worker (A rating),Skilled Worker,AAF-Ltd,unmatched,,,,
AAHIL FOODS LIMITED T/A BIRYANI KING,aahil foods t a biryani king,False,False,CARDIFF WALES,,Worker (A rating),Skilled Worker,AAHIL FOODS LIMITED T/A BIRYANI KING,unmatched,,0.4357,BIRYANI FOODS LIMITED,16717713
AAK FUSION LTD T/A NISA LOCAL,aak fusion t a nisa local,False,False,Gravesend,Kent,Worker (A rating),Skilled Worker,AAK FUSION LTD T/A NISA LOCAL,unmatched,,0.49,AAK FUSION LTD,13265155
AAM PHARMA LTD T/A  AR CHEMIST,aam pharma t a ar chemist,False,False,LONDON,,Worker (A rating),Skilled Worker,AAM PHARMA LTD T/A  AR CHEMIST,unmatched,,0.49,AAM PHARMA LIMITED,06842568
AAP INVESTMENTS LIMITED T/A Hop Inn,aap investments t a hop inn,False,False,BOURNEMOUTH,,Worker (A rating),Skilled Worker,AAP INVESTMENTS LIMITED T/A Hop Inn,unmatched,,0.5522,AAP INVESTMENTS LIMITED,10483112
AAPrinters Ltd,aaprinters,False,False,Manchester,,Worker (A rating),Skilled Worker,AAPrinters Ltd,unmatched,,0.4936,AA PRINTERS LIMITED,09675861
AARAV COURIER LTD,aarav courier,False,False,Stoke-On-Trent,,Worker (A rating),Skilled Worker,AARAV COURIER LTD,unmatched,,0.6364,AARAV COURIER MIDLANDS LIMITED,13483209
AARIA RETAIL UK LTD T/A Costcutter,aaria retail t a costcutter,False,False,Great Bromley,Colchester,Worker (A rating),Skilled Worker,AARIA RETAIL UK LTD T/A Costcutter,unmatched,,0.4678,AARIA RETAIL UK LTD,13119144
AARIZ STORES LIMITED T/A Royal Paan And Chaat Corner,aariz stores t a royal paan and chaat corner,False,False,London,,Worker (A rating),Skilled Worker,AARIZ STORES LIMITED T/A Royal Paan And Chaat Corner,unmatched,,0.3955,BOMBAY CHAAT CORNER LIMITED,14832546
AARNA CONNECT TECH SERVICES LTD T/A AARNA CONNECT,aarna connect tech services t a aarna connect,False,False,Slough,,Worker (A rating),Skilled Worker,AARNA CONNECT TECH SERVICES LTD T/A AARNA CONNECT,unmatched,,0.69,AARNA CONNECT TECH SERVICES LTD,14940156
AARRR LTD TA Skewen Fish Bar,aarrr ta skewen fish bar,False,False,Neath,,Worker (A rating),Skilled Worker,AARRR LTD TA Skewen Fish Bar,unmatched,,0.4934,ATLANTIS FISH BAR BANBURY LTD LIMITED,16308127
AARYA FOODS LTD T/A SKVP EXPRESS,aarya foods t a skvp express,False,False,HARROW,,Worker (A rating),Skilled Worker,AARYA FOODS LTD T/A SKVP EXPRESS,unmatched,,0.4071,AARYA FOODS LIMITED,09692690
AAVR Solutions Limited T/A Shell,aavr solutions t a shell,False,False,Kent,,Worker (A rating),Skilled Worker,AAVR Solutions Limited T/A Shell,unmatched,,0.5233,AAVR SOLUTIONS LTD,13105737
AAYAN MARYAM LTD t/a The Raj Tandoori,aayan maryam t a the raj tandoori,False,False,Southend-on-Sea,,Worker (A rating),Skilled Worker,AAYAN MARYAM LTD t/a The Raj Tandoori,unmatched,,0.5167,THE RAJ TANDOORI AND BALTI LTD,15322810
AB Brothers Limited T/A Mamas Food Xpress,ab brothers t a mamas food xpress,False,False,Nottingham,,Worker (A rating),Skilled Worker,AB Brothers Limited T/A Mamas Food Xpress,unmatched,,0.4982,MAMAS FOOD EXPRESS LTD,12193788
AB ENTERPRISE (NW) LTD T/A THE PAVILION,ab enterprise nw t a the pavilion,False,False,BOLTON,,Worker (A rating),Skilled Worker,AB ENTERPRISE (NW) LTD T/A THE PAVILION,unmatched,,0.5011,AB ENTERPRISE (NW) LTD,12327295
AB Glass (Doors and Windows) Ltd,ab glass doors and windows,False,False,Swansea,Swansea,Worker (A rating),Skilled Worker,AB Glass (Doors and Windows) Ltd,unmatched,,0.6885,ABACUS WINDOWS AND DOORS LTD,04217908
AB Hotels Limited,ab hotels,False,False,St Albans,Hertfordshire,Worker (A rating),Skilled Worker,AB Hotels Limited,unmatched,,0.56,A.B. HOTELS LIMITED,01467761
AB Littlejohn & Sons LTD  T/A Dental Technology Services,ab littlejohn sons t a dental technology services,False,False,Glasgow,Starthclyde,Worker (A rating),Skilled Worker,AB Littlejohn & Sons LTD  T/A Dental Technology Services,unmatched,,0.5019,AB LITTLEJOHN & SONS LIMITED,SC436915
AB REDCAR LTD /Ali Barbers,ab redcar ali barbers,False,False,REDCAR,,Worker (A rating),Skilled Worker,AB REDCAR LTD /Ali Barbers,unmatched,,0.6748,VIP BARBERS REDCAR LTD,15996072
AB VENTURES EDINBURGH LTD T/A DAY TODAY,ab ventures edinburgh t a day today,False,False,Haddington,,Worker (A rating),Skilled Worker,AB VENTURES EDINBURGH LTD T/A DAY TODAY,unmatched,,0.5471,AB VENTURES EDINBURGH LTD,SC773890
"AB, KB & CB Patel T/a Top Fashion & Apsara",ab kb cb patel t a top fashion apsara,False,False,Leicester,,Worker (A rating),Skilled Worker,"AB, KB & CB Patel T/a Top Fashion & Apsara",unmatched,,0.3823,FASHION TOP LTD,14976431
AB11STORES LTD,ab11stores,False,False,ABERDEEN,,Worker (A rating),Skilled Worker,AB11STORES LTD,unmatched,,0.4936,AB11 STORES LTD,SC629908
ABAN HEALTHCARE LTD T/A VICTORIA PHARMACY,aban healthcare t a victoria pharmacy,False,False,LONDON,,Worker (A rating),Skilled Worker,ABAN HEALTHCARE LTD T/A VICTORIA PHARMACY,unmatched,,0.4809,BROWNS PHARMACY HEALTHCARE LIMITED,SC246885
ABBENDON HEALTH CARE LTD T/A ABBENDON NURSING HOME,abbendon health care t a abbendon nursing home,False,False,SOUTHPORT,,Worker (A rating),Skilled Worker,ABBENDON HEALTH CARE LTD T/A ABBENDON NURSING HOME,unmatched,,0.4326,A & H HEALTH CARE SERVICES LIMITED,15311667
ABBEY AMBITIONS,abbey ambitions,False,False,BLACKWOOD,GWENT,Worker (A rating),Skilled Worker,ABBEY AMBITIONS,unmatched,,0.57,AGILE AMBITIONS LTD,12467556
ABBEY ASIA LIMITED T/A SHUHAG,abbey asia t a shuhag,False,False,Essex,,Worker (A rating),Skilled Worker,ABBEY ASIA LIMITED T/A SHUHAG,unmatched,,0.4805,ABBEY ASIA LIMITED,14983004
ABBEY CARE CENTRE LIMITED T/A Bhakti Shyama care Centre,abbey care centre t a bhakti shyama care centre,False,False,London,,Worker (A rating),Skilled Worker,ABBEY CARE CENTRE LIMITED T/A Bhakti Shyama care Centre,unmatched,,0.4518,ABBEY CARE CENTRE LIMITED,05741454
ABBEY HOUSE RESEDENTIAL CARE HOME,abbey house resedential care home,False,False,MORDEN,SURREY,Worker (A rating),Skilled Worker,ABBEY HOUSE RESEDENTIAL CARE HOME,unmatched,,0.5924,ABBEY DEAN CARE HOME LIMITED,08992582
ABBEYFIELD NEIGHBOURHOOD STORE,abbeyfield neighbourhood store,False,False,BEDFORD,,Worker (A rating),Skilled Worker,ABBEYFIELD NEIGHBOURHOOD STORE,unmatched,,0.7033,NEIGHBOURHOOD STORE LTD,11556541
ABBEYLOYD PROPERTIES LTD,abbeyloyd properties,False,False,London,,Worker (A rating),Skilled Worker,ABBEYLOYD PROPERTIES LTD,unmatched,,0.54,AAA & B PROPERTIES LTD,12794942
ABBIS FILLING STATION,abbis filling station,False,False,OSSETT,WEST YORKSHIRE,Worker (A rating),Skilled Worker,ABBIS FILLING STATION,unmatched,,0.6738,AM FILLING STATION LTD,11608072
ABBOTS ENTERPRISE LTD t/a ABBOTS Supermarket,abbots enterprise t a abbots supermarket,False,False,Abbots Langley,,Worker (A rating),Skilled Worker,ABBOTS ENTERPRISE LTD t/a ABBOTS Supermarket,unmatched,,0.46,ABBOTS ENTERPRISE LTD,10158592
ABBOTS SPICE LIMITED T/A CINNAMON LODGE,abbots spice t a cinnamon lodge,False,False,Hertfordshire,England,Worker (A rating),Skilled Worker,ABBOTS SPICE LIMITED T/A CINNAMON LODGE,unmatched,,0.5581,CINNAMON LODGE SPICE LTD,08188015
ABBOTSFORD RESIDENTIAL CARE HOME LIMITED T/ AS Abbotsford Residential Care Home,abbotsford residential care home t as abbotsford residential care home,False,False,Pinner,Middlesex,Worker (A rating),Skilled Worker,ABBOTSFORD RESIDENTIAL CARE HOME LIMITED T/ AS Abbotsford Residential Care Home,unmatched,,0.6329,ABBOTSFORD RESIDENTIAL CARE HOME LIMITED,12223780
ABBY RETAIL LTD T/A HILLFIELDS SERVICE STATION,abby retail t a hillfields service station,False,False,coventry,,Worker (A rating),Skilled Worker,ABBY RETAIL LTD T/A HILLFIELDS SERVICE STATION,unmatched,,0.5131,BANKNOCK SERVICE STATION RETAIL LTD,SC567324
ABC Builder (Aiub Building Construction),abc builder aiub building construction,False,False,Oldham,Greater Manchester,Worker (A rating),Skilled Worker,ABC Builder (Aiub Building Construction),unmatched,,0.5132,A&A BUILDING CONSTRUCTION LTD,11002822
ABC Maintence London,abc maintence london,False,False,London,Greater London,Worker (A rating),Skilled Worker,ABC Maintence London,unmatched,,0.5108,CK POOL MAINTENCE SERVICES LTD,11522900
ABDUL KADIR T/A AUTO MASTER,abdul kadir t a auto master,False,False,London,,Worker (A rating),Skilled Worker,ABDUL KADIR T/A AUTO MASTER,unmatched,,0.4733,AUTO MASTER DETAILING LTD,13997342
ABDULHADITARIQ LIMITED t/a Yummy Bites,abdulhaditariq t a yummy bites,False,False,Edinburgh,,Worker (A rating),Skilled Worker,ABDULHADITARIQ LIMITED t/a Yummy Bites,unmatched,,0.4633,YUMMY BITES CATERING LIMITED,16339618
ABDV2ltd,abdv2ltd,False,False,london,London,Worker (A rating),Skilled Worker,ABDV2ltd,unmatched,,,,
ABERDEEN GRILL & KEBAB HOUSE LTD T/A BELMONT KEBAB AND PIZZA,aberdeen grill kebab house t a belmont kebab and pizza,False,False,Aberdeen,,Worker (A rating),Skilled Worker,ABERDEEN GRILL & KEBAB HOUSE LTD T/A BELMONT KEBAB AND PIZZA,unmatched,,0.5893,ABERDEEN GRILL & KEBAB HOUSE LTD,SC578085
ABF EATERY LTD T/A Subway,abf eatery t a subway,False,False,Glasgow,,Worker (A rating),Skilled Worker,ABF EATERY LTD T/A Subway,unmatched,,0.5605,ABF EATERY LTD,SC847987
ABF Grain Products trading as Allied Bakeries,abf grain products trading as allied bakeries,False,False,Maidenhead,,Worker (A rating),Skilled Worker,ABF Grain Products trading as Allied Bakeries,unmatched,,0.507,DAVID SUNNEY TRADING AS THE GRAIN JOINERY LIMITED,09060559
ABI SUPERMARKET LIMITED T/A Flints Stores,abi supermarket t a flints stores,False,False,Nottingham,,Worker (A rating),Skilled Worker,ABI SUPERMARKET LIMITED T/A Flints Stores,unmatched,,0.5118,ABI SUPERMARKET LIMITED,11264707
ABIEL HOLDINGS LTD T/A LINDENS REST HOME,abiel t a lindens rest home,False,False,MANCHESTER,,Worker (A rating),Skilled Worker,ABIEL HOLDINGS LTD T/A LINDENS REST HOME,unmatched,,0.5586,THE LINDENS RESIDENTIAL HOME LTD,12500626
ABIHA FOODS LIMITED T/A My big Mo's,abiha foods t a my big mo s,False,False,Rugby,,Worker (A rating),Skilled Worker,ABIHA FOODS LIMITED T/A My big Mo's,unmatched,,0.5689,MY BIG MO’S DESSERTS LIMITED,13640617
ABL1 Touch Ltd,abl1 touch,False,False,Reigate,,Worker (A rating),Skilled Worker,ABL1 Touch Ltd,unmatched,,0.6436,ABL 1 TOUCH GROUP LIMITED,12922528
ABOVE & BEYOND CREATIVE LTD T/AS ABOVE + BEYOND,above beyond creative t as above beyond,False,False,LONDON,,Worker (A rating),Skilled Worker,ABOVE & BEYOND CREATIVE LTD T/AS ABOVE + BEYOND,unmatched,,0.7054,ABOVE & BEYOND CREATIVE LIMITED,08174496
ABP Doncaster,abp doncaster,False,False,Doncaster,,Worker (A rating),Skilled Worker,ABP Doncaster,unmatched,,0.5071,ABP ACCOUNTING LTD,15506695
ABP Eatwell,abp eatwell,False,False,Knowsley,Merseyside,Worker (A rating),Skilled Worker,ABP Eatwell,unmatched,,0.5167,EATWELL&FREE LTD,11293103
ABP Kingswinford,abp kingswinford,False,False,Kingswinford,,Worker (A rating),Skilled Worker,ABP Kingswinford,unmatched,,0.6,CPJ (KINGSWINFORD) LIMITED,06162111
ABP Langport,abp langport,False,False,Langport,Somerset,Worker (A rating),Skilled Worker,ABP Langport,unmatched,,0.5405,THE BRIDGE (LANGPORT) LIMITED,11663461
ABP Penston,abp penston,False,False,Glasgow,Scotland,Worker (A rating),Skilled Worker,ABP Penston,unmatched,,0.45,PENSTON APPLICATIONS LIMITED,06260458
ABP Wessex,abp wessex,False,False,Northallerton,North Yorkshire,Worker (A rating),Skilled Worker,ABP Wessex,unmatched,,0.3643,ABP ACCOUNTING LTD,15506695
ABP Yetminster,abp yetminster,False,False,Yetminster,Dorset,Worker (A rating),Skilled Worker,ABP Yetminster,unmatched,,0.5167,YETMINSTER GLAZING LIMITED,16378569
ABR PIZZERIA LIMITED t/a CASTLE BISTRO,abr pizzeria t a castle bistro,False,False,Wrexham,,Worker (A rating),Skilled Worker,ABR PIZZERIA LIMITED t/a CASTLE BISTRO,unmatched,,0.49,ABR PIZZERIA LIMITED,09953233
ABR Tamwil Ltd T/A ABR Chartered Accountants,abr tamwil t a abr chartered accountants,False,False,London,,Worker (A rating),Skilled Worker,ABR Tamwil Ltd T/A ABR Chartered Accountants,unmatched,,0.49,ADRIAN HALL CHARTERED ACCOUNTANTS LIMITED,NI638381
ABRAR 17 LTD T/A PAPRIKA,abrar 17 t a paprika,False,False,Cumbria,Workington,Worker (A rating),Skilled Worker,ABRAR 17 LTD T/A PAPRIKA,unmatched,,0.53,ABRAR 17 LTD,11843678
ABRST Ltd t/a Dhillons,abrst t a dhillons,False,False,Kilsyth,,Worker (A rating),Skilled Worker,ABRST Ltd t/a Dhillons,unmatched,,0.4246,A B R STAINLESS LIMITED,11102317
ABS 12 LTD,abs 12,False,False,AYLSBURY,,Worker (A rating),Skilled Worker,ABS 12 LTD,unmatched,,0.3833,ABS12 LTD,12946633
ABS FURNITURE LIMITED TA ABS Headboard Link,abs furniture ta abs headboard link,False,False,Birmingham,,Worker (A rating),Skilled Worker,ABS FURNITURE LIMITED TA ABS Headboard Link,unmatched,,0.6457,ABS HEADBOARD LINK LIMITED,14214898
ABS TAUNTON LTD trading as India Gate,abs taunton trading as india gate,False,False,Bridgwater,,Worker (A rating),Skilled Worker,ABS TAUNTON LTD trading as India Gate,unmatched,,0.5496,INDIA GATE FOR TRADING LTD,16842867
ABSG Ltd T/A The New Sunar Gow,absg t a the new sunar gow,False,False,Lutterworth,,Worker (A rating),Skilled Worker,ABSG Ltd T/A The New Sunar Gow,unmatched,,0.4256,THE NEW SUNARGOW TANDOORI LTD,06620980
ABSOLUTE ALL INCLUSIVE CARE LTD T/a AAICARE,absolute all inclusive care t a aaicare,False,False,PORTLAND,DORSET,Worker (A rating),Skilled Worker,ABSOLUTE ALL INCLUSIVE CARE LTD T/a AAICARE,unmatched,,0.7198,ABSOLUTE ALL INCLUSIVE CARE LIMITED,06182376
AC & AA Limited t/a Betterclean Services,ac aa t a betterclean services,False,False,Tunbridge Wells,Kent,Worker (A rating),Skilled Worker,AC & AA Limited t/a Betterclean Services,unmatched,,0.5089,BETTERCLEAN (SERVICES FRANCHISING) LIMITED,07456736
AC Maben Ltd T/A Kevins Schoolwear,ac maben t a kevins schoolwear,False,False,Greenford,Middlesex,Worker (A rating),Skilled Worker,AC Maben Ltd T/A Kevins Schoolwear,unmatched,,0.4867,AC MABEN LTD,10142817
ACANA CARE LTD T/A ACANA SUPPLIES,acana care t a acana supplies,False,False,London,,Worker (A rating),Skilled Worker,ACANA CARE LTD T/A ACANA SUPPLIES,unmatched,,0.5079,ACANA CARE LTD,12689956
ACCESS AND INFORM LIMITED T/A WOODSIDE POST AND CONVENIENCE STORE,access and inform t a woodside post and convenience store,False,False,aberdeen,,Worker (A rating),Skilled Worker,ACCESS AND INFORM LIMITED T/A WOODSIDE POST AND CONVENIENCE STORE,unmatched,,0.4493,ACCESS AND INFORM LIMITED,SC268330
ACCOUNTAX GROUP LTD T/A ACCOUNTAX GROUP,accountax t a accountax,False,False,Romford,,Worker (A rating),Skilled Worker,ACCOUNTAX GROUP LTD T/A ACCOUNTAX GROUP,unmatched,,0.4865,ACCOUNTAX GROUP LTD,11296962
ACE FLEET LIMITED T/A MOMO'S,ace fleet t a momo s,False,False,London,,Worker (A rating),Skilled Worker,ACE FLEET LIMITED T/A MOMO'S,unmatched,,0.5014,ACE FLEET SOLUTIONS LTD,SC805740
ACE SWEETS LIMITED T/A MAHARAJA SWEETS,ace sweets t a maharaja sweets,False,False,Slough,,Worker (A rating),Skilled Worker,ACE SWEETS LIMITED T/A MAHARAJA SWEETS,unmatched,,0.5033,ACE SWEETS LIMITED,11336699
ACER ACCOUNTANCY SERVICES LIMITED trading as Acumen+,acer accountancy services trading as acumen,False,False,Rushden,Northamptonshire,Worker (A rating),Skilled Worker,ACER ACCOUNTANCY SERVICES LIMITED trading as Acumen+,unmatched,,0.6626,ACER ACCOUNTANCY SERVICES LIMITED,09524635
ACER International Limited,acer,True,False,London | West Drayton,Middlesex,Worker (A rating),Skilled Worker,ACER International Limited | Acer UK Limited,unmatched,,0.5,ACER U.K. LIMITED,02252821
ACNielsen Company Limited,acnielsen,False,False,Oxford,Oxfordshire,Worker (A rating),Skilled Worker,ACNielsen Company Limited,unmatched,,0.5073,A.C. NIELSEN COMPANY LIMITED,03263498
ACPH Ltd T.A Hopscotch Children's Nurseries,acph t a hopscotch children s nurseries,False,False,Brighton,,Worker (A rating),Skilled Worker,ACPH Ltd T.A Hopscotch Children's Nurseries,unmatched,,0.491,HOPSCOTCH DAY NURSERIES (EASTLEIGH) LIMITED,12847806
ACRE 714 LTD T/AS AUTO CITY,acre 714 t as auto city,False,False,NORTHOLT,MIDDLESEX,Worker (A rating),Skilled Worker,ACRE 714 LTD T/AS AUTO CITY,unmatched,,0.4391,ACRE 714 LIMITED,04732398
ACRE TWEED BESPOKE SECURITY & FM LTD,acre tweed bespoke security fm,False,False,Barking,,Worker (A rating),Skilled Worker,ACRE TWEED BESPOKE SECURITY & FM LTD,unmatched,,0.44,ACRE &  TWEED SERVICES LTD,13816179
ACS International Ltd - UK Branch,acs branch,False,False,Beaconsfield,,Worker (A rating),Skilled Worker,ACS International Ltd - UK Branch,unmatched,,0.5,ACS INTERNATIONAL,BR003821
ACT LEGAL LTD,act legal,False,False,BRIGHTON,,Worker (A rating),Skilled Worker,ACT LEGAL LTD,unmatched,,0.5,ACTIVE LEGAL LIMITED,06874754
AD Implant.com Limited T/A Dental Implant Centre,ad implant com t a dental implant centre,False,False,Reading,,Worker (A rating),Skilled Worker,AD Implant.com Limited T/A Dental Implant Centre,unmatched,,0.53,BLACKWATER DENTAL SURGERY & IMPLANT CENTRE LTD,15244121
AD OFF LICENCE,ad off licence,False,False,Warrington,Cheshire,Worker (A rating),Skilled Worker,AD OFF LICENCE,unmatched,,0.65,ADAM OFF LICENCE LIMITED,14758939
AD SUPERSTORE,ad superstore,False,False,COVENTRY,,Worker (A rating),Skilled Worker,AD SUPERSTORE,unmatched,,0.3976,ADAMS FOOD SUPERSTORE LTD,12885487
AD URMSTON RESTAURANTS LTD,ad urmston restaurants,False,False,MANCHESTER,,Worker (A rating),Skilled Worker,AD URMSTON RESTAURANTS LTD,unmatched,,0.63,AD URMSTON RESTAURANTS T/A ADRAK RESTAURANTS LIMITED,14350099
ADHAV LIMITED t/a Morrisons fuel station,adhav t a morrisons fuel station,False,False,NORFOLK,,Worker (A rating),Skilled Worker,ADHAV LIMITED t/a Morrisons fuel station,unmatched,,0.4339,CHEDDAR FUEL STATION LTD,13240010
ADIL AHYAN LTD.T/A-Dhabagrillz,adil ahyan t a dhabagrillz,False,False,Kenley,,Worker (A rating),Skilled Worker,ADIL AHYAN LTD.T/A-Dhabagrillz,unmatched,,0.4438,ADIL AHYAN LTD,13815482
ADM Care Homes Limited T/A The Beeches,adm care homes t a the beeches,False,False,Rushden,Northampton,Worker (A rating),Skilled Worker,ADM Care Homes Limited T/A The Beeches,unmatched,,0.5738,ADM CARE HOMES LIMITED,05931492
ADM Cars,adm cars,False,False,Coventry,,Worker (A rating),Skilled Worker,ADM Cars,unmatched,,0.57,ADMIL CARS LTD,15735757
ADMC ENGINEERING LTD,admc engineering,False,False,London,England,Worker (A rating),Skilled Worker,ADMC ENGINEERING LTD,unmatched,,0.575,ESM ENGINEERING LTD,12476603
ADNANS HYDE LTD T/a Adnans,adnans hyde t a adnans,False,False,Hyde,Cheshire,Worker (A rating),Skilled Worker,ADNANS HYDE LTD T/a Adnans,unmatched,,0.55,ADNANS HYDE LTD,12309333
ADUT Limited T/A Chaiiwala,adut t a chaiiwala,False,False,Slough,,Worker (A rating),Skilled Worker,ADUT Limited T/A Chaiiwala,unmatched,,0.4144,CHAIIWALA CAFE LIMITED,10673193
ADVANCE CARE PROVIDER LIMITED,advance care provider,False,False,Essex,,Worker (A rating),Skilled Worker,ADVANCE CARE PROVIDER LIMITED,unmatched,,0.661,ADVANCE CAREPROVIDER LIMITED,14885905
ADVANCE TASTE LTD T/A TANDOORI NIGHT,advance taste t a tandoori night,False,False,Essex,,Worker (A rating),Skilled Worker,ADVANCE TASTE LTD T/A TANDOORI NIGHT,unmatched,,0.4925,ADVANCE TASTE LTD,15314572
ADVANTA LOSS ADJUSTERS LIMITED T/A ADVANTA INTERNATIONAL ADJUSTERS,advanta loss adjusters t a advanta adjusters,False,False,London,,Worker (A rating),Skilled Worker,ADVANTA LOSS ADJUSTERS LIMITED T/A ADVANTA INTERNATIONAL ADJUSTERS,unmatched,,0.69,ADVANTA LOSS ADJUSTERS LIMITED,04800575
ADZ NETWORK LTD T/A Chillies Tandoori,adz network t a chillies tandoori,False,False,London,,Worker (A rating),Skilled Worker,ADZ NETWORK LTD T/A Chillies Tandoori,unmatched,,0.4633,ADZ NETWORK LTD,05101765
AEG Technologies Limited T/A Connect,aeg technologies t a connect,False,False,London,,Worker (A rating),Skilled Worker,AEG Technologies Limited T/A Connect,unmatched,,0.5986,AEG TECHNOLOGIES LIMITED,09493662
AEJIS OFF LICENCE,aejis off licence,False,False,WINSFORD,,Worker (A rating),Skilled Worker,AEJIS OFF LICENCE,unmatched,,0.6194,A&J OFF LICENCE LIMITED,13570739
AEM BUSINESS LTD T/A FLUIDS LABS,aem business t a fluids labs,False,False,SOMERSET,,Worker (A rating),Skilled Worker,AEM BUSINESS LTD T/A FLUIDS LABS,unmatched,,0.5014,AEM BUSINESS LTD,12169114
AEP UK LTD,aep,False,False,Northampton,Northamptonshire,Worker (A rating),Skilled Worker,AEP UK LTD,unmatched,,0.37,A.E.P. UK LIMITED,05048432
AF ENTERPRISES LTD TA SAVILE TOWN SERVICE STATION,af enterprises ta savile town service station,False,False,Dewsbury,,Worker (A rating),Skilled Worker,AF ENTERPRISES LTD TA SAVILE TOWN SERVICE STATION,unmatched,,0.4133,SAVILE TOWN WHARF LIMITED,12519099
AFD Food and Drink Limited T/A The Espy,afd food and drink t a the espy,False,False,Portobello,,Worker (A rating),Skilled Worker,AFD Food and Drink Limited T/A The Espy,unmatched,,0.6005,THE CARIBBEAN FOOD AND DRINK COMPANY LTD,13502453
AFFIRM UK LTD,affirm,False,False,London,,Worker (A rating),Skilled Worker,AFFIRM UK LTD,unmatched,,0.57,AFFIRM U.K. LIMITED,10199101
Aachi's Ltd T/A Aachi's Indian Cuisine,aachi s t a aachi s indian cuisine,False,False,Croydon,,Worker (A rating),Skilled Worker,Aachi's Ltd T/A Aachi's Indian Cuisine,unmatched,,0.5014,AHR INDIAN CUISINE LTD,16200258
Aadam Foods Limited  T/A Western Foods & Wine Express,aadam foods t a western foods wine express,False,False,London,,Worker (A rating),Skilled Worker,Aadam Foods Limited  T/A Western Foods & Wine Express,unmatched,,0.5262,A & T FOODS WINE LTD,15749513
Aadipranavam Ltd T/as Durga Store,aadipranavam t as durga store,False,False,Sheffield,,Worker (A rating),Skilled Worker,Aadipranavam Ltd T/as Durga Store,unmatched,,0.4155,AADIPRANAVAM LTD,08919305
Aagan LTD T/A The Everest Eatery,aagan t a the everest eatery,False,False,Malvern,,Worker (A rating),Skilled Worker,Aagan LTD T/A The Everest Eatery,unmatched,,0.4429,THE CHORLTON EATERY CAFE LTD,11233805
Aaha Foods Ltd T/A Reddy?¢????s Eat in and Takeaway,aaha foods t a reddy s eat in and takeaway,False,False,Northampton,,Worker (A rating),Skilled Worker,Aaha Foods Ltd T/A Reddy?¢????s Eat in and Takeaway,unmatched,,0.4476,EAT & BITE RESTAURANT AND TAKEAWAY LTD,17003555
Aahana House,aahana house,False,False,Coulsdon,Surrey,Worker (A rating),Skilled Worker,Aahana House,unmatched,,0.55,AAHANA LIMITED,11997657
